runNumber,best_of_run_gen,best_of_run_error,size,foodEaten,path,energy
0,304,0.0,80,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (10, 11), (11, 11), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (2, 5), (2, 4), (1, 4)]",35
1,171,0.0,42,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 10), (11, 11)]",36
2,330,0.0,41,18,"[(0, 0), (1, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (4, 4), (4, 3), (4, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (6, 5), (6, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (8, 8), (8, 7), (8, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (8, 7), (7, 7), (6, 7)]",21
3,165,0.0,82,18,"[(0, 0), (1, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (5, 3), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (10, 9), (9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6)]",14
4,627,0.0,47,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 3), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (5, 5), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 7), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (9, 9), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (9, 7), (8, 7), (8, 8), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5), (7, 5), (6, 5), (6, 6), (6, 7)]",9
5,85,0.16666666666666666,63,15,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 1), (1, 2), (1, 3), (2, 3), (2, 2), (2, 3), (2, 4), (3, 4), (3, 3), (3, 4), (3, 5), (4, 5), (4, 4), (4, 5), (4, 6), (5, 6), (5, 5), (5, 6), (5, 7), (6, 7), (6, 6), (6, 7), (6, 8), (7, 8), (7, 7), (7, 8), (7, 9), (8, 9), (8, 8), (8, 9), (8, 10), (9, 10), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 11), (11, 11), (11, 10), (11, 11)]",0
6,245,0.0,36,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 10), (11, 11)]",16
7,49,0.0,49,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (5, 5), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (7, 7), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (9, 9), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 11), (11, 11)]",32
8,42,0.16666666666666666,45,15,"[(0, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7), (7, 7), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (9, 9), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 10), (11, 9), (11, 8)]",0
9,514,0.0,32,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (3, 4), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (5, 6), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (7, 8), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (9, 9), (10, 9), (11, 9), (11, 10), (11, 11)]",26
