runNumber,best_of_run_gen,best_of_run_error,size,foodEaten,path,energy
10,473,0.0,103,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 3), (3, 4), (3, 5), (3, 6), (2, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (5, 6), (5, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (11, 10), (10, 10), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (5, 6), (5, 5), (4, 5), (4, 6)]",10
11,58,0.0,46,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (10, 11), (11, 11), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (2, 5), (2, 4), (1, 4)]",6
12,22,0.1111111111111111,31,16,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (6, 7), (7, 7), (7, 8), (8, 8), (8, 9), (8, 10), (8, 11), (9, 11), (10, 11), (11, 11)]",0
13,85,0.05555555555555555,71,17,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 8), (7, 7), (6, 7), (5, 7), (5, 6), (5, 5), (4, 5), (3, 5), (3, 4), (3, 3), (2, 3), (1, 3), (1, 2), (1, 1), (0, 1), (0, 0)]",0
14,80,0.0,57,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (9, 11), (10, 11), (11, 11), (11, 10), (10, 10), (11, 10), (11, 9), (10, 9), (10, 10), (10, 11), (9, 11), (9, 10), (9, 9), (8, 9), (7, 9), (7, 8), (7, 7), (6, 7)]",44
15,60,0.0,56,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 10), (11, 11)]",26
16,109,0.0,68,18,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (5, 4), (5, 5), (5, 6), (6, 6), (6, 7), (7, 7), (7, 8), (7, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (10, 11), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (7, 9), (7, 8), (7, 7), (6, 7), (5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (3, 4), (4, 4), (3, 4), (2, 4), (1, 4)]",34
17,263,0.0,40,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10)]",15
18,443,0.05555555555555555,134,17,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (10, 8), (11, 8), (11, 7), (11, 6), (11, 5), (11, 6), (11, 7), (11, 8), (10, 8), (9, 8), (9, 9), (8, 9), (7, 9), (6, 9), (6, 8), (7, 8), (8, 8), (8, 7), (9, 7), (9, 8), (9, 9), (10, 9), (10, 10), (10, 11), (11, 11)]",0
19,697,0.0,116,18,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (1, 2), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (5, 5), (5, 6), (4, 6), (3, 6), (3, 7), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (8, 9), (8, 10), (7, 10), (6, 10), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10), (10, 9), (9, 9), (8, 9), (8, 8), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (4, 5), (5, 5), (5, 4), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3), (0, 2), (0, 1), (1, 1)]",11
20,31,0.0,63,18,"[(0, 0), (1, 0), (1, 1), (0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 3), (2, 3), (3, 3), (3, 4), (2, 4), (2, 5), (2, 6), (3, 6), (3, 5), (4, 5), (5, 5), (5, 6), (4, 6), (4, 7), (4, 8), (5, 8), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9), (8, 10), (8, 9), (9, 9), (10, 9), (11, 9), (11, 10), (11, 11), (10, 11), (10, 10), (11, 10), (10, 10), (10, 9), (10, 8), (10, 7), (10, 8), (9, 8), (8, 8), (7, 8)]",5
21,232,0.0,96,18,"[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 7), (8, 8), (8, 9), (9, 9), (10, 9), (10, 8), (10, 9), (10, 10), (11, 10), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (4, 6), (3, 6), (3, 5), (3, 6), (3, 5), (3, 4), (2, 4), (1, 4), (1, 5), (1, 4), (1, 3)]",14
22,411,0.0,40,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 10), (11, 11)]",46
23,722,0.0,63,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 10), (10, 10), (9, 10), (9, 9), (8, 9), (8, 8), (8, 7), (8, 6), (7, 6), (6, 6), (5, 6), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (3, 7), (3, 6), (3, 5), (2, 5), (2, 4), (1, 4)]",26
24,56,0.0,61,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 3), (3, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (6, 5), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9), (9, 8), (9, 7), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (11, 11), (10, 11), (9, 11), (8, 11), (8, 10), (8, 9), (8, 8), (8, 7), (7, 7), (6, 7), (6, 8), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (4, 5), (3, 5), (3, 6)]",10
25,28,0.05555555555555555,46,17,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10), (9, 11), (10, 11), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (9, 10), (9, 9), (9, 8), (8, 8), (8, 9), (8, 10), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (2, 5), (2, 4), (1, 4), (1, 3), (0, 3), (0, 2)]",0
26,852,0.0,37,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 10), (11, 11)]",46
27,66,0.0,42,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (1, 3), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (4, 6), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (7, 9), (6, 9), (6, 10), (7, 10), (8, 10), (9, 10), (9, 9), (10, 9), (10, 10), (10, 11), (11, 11)]",27
28,57,0.0,62,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3), (3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 7), (6, 7), (6, 8), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (8, 10), (9, 10), (9, 11), (10, 11), (11, 11), (11, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 8), (7, 7), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6)]",21
29,105,0.0,50,18,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 5), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 9), (8, 8), (9, 8), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (10, 11), (10, 10)]",22
